epoch,train_loss,val_acc
1,1.6697,0.4156
2,0.8818,0.6080
3,0.6405,0.5998
4,0.5636,0.6303
5,0.4968,0.6617
6,0.4329,0.6218
7,0.3997,0.6518
8,0.3427,0.6466
9,0.3343,0.6647
10,0.3510,0.6220
11,0.3023,0.6749
12,0.2773,0.7061
13,0.2474,0.6710
14,0.2091,0.7087
15,0.1909,0.7051
16,0.1871,0.7134
17,0.1762,0.6887
18,0.2153,0.6439
19,0.1604,0.6962
20,0.1470,0.7140
21,0.1188,0.6547
22,0.1172,0.6489
23,0.1505,0.6757
24,0.1588,0.6829
25,0.1522,0.6526
26,0.1678,0.6819
27,0.1059,0.6718
28,0.0884,0.6634
29,0.0998,0.6711
30,0.0897,0.6547
